agent,observed,all,some,none
*,291086,25531,233832,31723
mediapartners-google,24221,4679,15040,4502
*all agents*,313001,16436,248666,47899
boomtrain-content-bot,53,0,53,0
swiftbot,989,167,698,124
gsa-crawler,1974,1487,393,94
GPTBot,4353,3651,679,23
CCBot,3903,2720,877,306
ChatGPT-User,1320,897,407,16
yandex,10868,6196,3039,1633
slurp,12673,4205,6312,2156
Googlebot,18707,4253,12466,1988
teoma,1693,744,856,93
weborama-fetcher,420,320,25,75
krzana bot,110,110,0,0
googlebot-mobile,4044,784,2696,564
sputnikbot/2.3,110,110,0,0
directcrawler,200,182,18,0
twitterbot,12204,1062,7071,4071
clickagy intelligence bot v2,354,195,159,0
java/1.4.1_04,205,187,18,0
googlebot-image,6433,1613,3689,1131
java/1.5.0_11,200,182,18,0
voilabot,1124,855,222,47
shopwiki,1470,1375,90,5
msnbot,10967,3621,4949,2397
facebookexternalhit,2519,226,479,1814
iisbot,238,166,25,47
dotbot,5569,4503,818,248
velenpublicwebcrawler,282,275,7,0
mj12bot,13178,7252,2057,3869
ahrefsbot,14529,9007,3903,1619
blexbot,3921,3385,361,175
mauibot,1676,1410,265,1
semrushbot,7600,5706,1191,703
petalbot,2290,1439,710,141
the knowledge ai,658,580,32,46
ia_archiver,6944,3815,3011,118
008,6830,5156,1577,97
cohere-ai,264,242,22,0
anthropic-ai,575,324,251,0
Google-Extended,1413,1050,343,20
semetrical,1773,1676,0,97
grapeshot,3735,872,797,2066
googlebot-news,9472,1151,8035,286
amazonbot,769,568,135,66
Claude-Web,220,194,26,0
ClaudeBot,81,77,4,0
wget,3904,3518,285,101
grub-client,2581,2532,49,0
doc,1565,1468,97,0
linko,1793,1651,126,16
fetch,1887,1745,126,16
zealbot,1957,1815,126,16
webzip,4286,4027,243,16
xenu,2039,1910,113,16
sitecheck.internetseer.com,1910,1760,134,16
zao,1666,1569,97,0
orthogaffe,785,763,22,0
larbin,3559,3252,291,16
teleportpro,3920,3666,238,16
libwww,2063,1880,167,16
k2spider,1622,1496,126,0
webreaper,2726,2583,143,0
webcopier,4316,4043,257,16
offline explorer,3883,3606,261,16
httrack,3173,2886,271,16
fast,826,809,17,0
microsoft.url.control,1776,1650,126,0
mediapartners-google*,4061,1810,1701,550
teleport,3813,3558,239,16
ubicrawler,1471,1374,97,0
webstripper,4075,3804,249,22
zyborg,2293,2135,113,45
