Collection,Sources prohibit scraping?,Sources restrict AI use?,"Are the sources Noncommercial, Unspecified, or Unrestricted?"
AISHELL-1,Not Prohibited,Not Prohibited,Open or Unrestricted
AISHELL-2,Not Prohibited,Not Prohibited,Open or Unrestricted
AISHELL-4,Not Prohibited,Not Prohibited,Open or Unrestricted
Common Voice Corpus (17.0),Not Prohibited,Not Prohibited,Open or Unrestricted
CoVoST-2,Not Prohibited,Not Prohibited,Open or Unrestricted
Fisher,,,
GigaSpeech,Prohibited,Unspecified,Noncommercial
LibriSpeech,Unspecified,Unspecified,Open or Unrestricted
Multilingual LibriSpeech,Unspecified,Unspecified,Open or Unrestricted
MuST-C,Unspecified,Prohibited,Noncommercial
People's Speech,Prohibited,Unspecified,
SPGISpeech,Prohibited,Unspecified,Noncommercial
Switchboard,,,
TED-LIUM3,Unspecified,Prohibited,Noncommercial
VoxPopuli,,,
Golos,Not Prohibited,Not Prohibited,Open or Unrestricted
Samrómur,Not Prohibited,Not Prohibited,Open or Unrestricted
Samrómur Children,Not Prohibited,Not Prohibited,Open or Unrestricted
Shrutilipi,Unspecified,Unspecified,Unspecified
WenetSpeech,Prohibited,Unspecified,Noncommercial
EdAcc,Not Prohibited,Not Prohibited,Open or Unrestricted
Kathbath,Not Prohibited,Not Prohibited,Open or Unrestricted
Fleurs,Not Prohibited,Not Prohibited,Open or Unrestricted
THCHS-30,Not Prohibited,Not Prohibited,Open or Unrestricted
M-AILABS,Unspecified,Unspecified,Open or Unrestricted
LJSpeech,Unspecified,Unspecified,Open or Unrestricted
TIMIT,Not Prohibited,Not Prohibited,Open or Unrestricted
CSLU: Foreign Accented English Release 1.2,,,
ALLSSTAR,Not Prohibited,Not Prohibited,Open or Unrestricted
MASC,Prohibited,Unspecified,Noncommercial
AMI,Not Prohibited,Not Prohibited,Open or Unrestricted
Vystadial,Not Prohibited,Not Prohibited,Open or Unrestricted
THUYG-20,Not Prohibited,Not Prohibited,Open or Unrestricted
M2ASR-Kirghiz,Not Prohibited,Not Prohibited,Open or Unrestricted
M2ASR-Mongo,Not Prohibited,Not Prohibited,Open or Unrestricted
M2ASR-Tibetan,Not Prohibited,Not Prohibited,Open or Unrestricted
M2ASR-Kazakh,Not Prohibited,Not Prohibited,Open or Unrestricted
1111 Hours Hindi ASR Challenge,Not Prohibited,Not Prohibited,Open or Unrestricted
YODAS,Prohibited,Unspecified,Noncommercial
CSLU: 22 Languages Corpus,,,
ReazonSpeech,,,
Minds14,,,
Samrómur Milljón,Not Prohibited,Not Prohibited,Open or Unrestricted
KsponSpeech,Not Prohibited,Not Prohibited,Open or Unrestricted
Zeroth-Korean,Not Prohibited,Not Prohibited,Open or Unrestricted
VCTK,Not Prohibited,Not Prohibited,Open or Unrestricted
AFRISPEECH-200,Not Prohibited,Not Prohibited,Open or Unrestricted
LaboroTVSpeech,,,
VibraVox,Not Prohibited,Not Prohibited,Open or Unrestricted
KeSpeech,Not Prohibited,Not Prohibited,Open or Unrestricted
JTUBESPEECH,Prohibited,Unspecified,Noncommercial
MediaSpeech,Prohibited,Unspecified,Noncommercial
OpenSTT,Prohibited,Unspecified,Noncommercial
Bud500,Likely prohibited,Likely prohibited,Likely Noncommercial
RixVox,,,
CSJ,Not Prohibited,Not Prohibited,Open or Unrestricted
MAGICDATA,Not Prohibited,Not Prohibited,Open or Unrestricted
Snow Mountain,,,
aidatatang,Not Prohibited,Not Prohibited,Open or Unrestricted
Bloom Speech,Prohibited,Unspecified,Noncommercial
Hebrew Speech Kan,Prohibited,Unspecified,Noncommercial
MagicData-RAMC,Not Prohibited,Not Prohibited,Open or Unrestricted
Multilingual TEDx,Unspecified,Prohibited,Noncommercial
NST Swedish,,,
NPSC,,,
Hebrew Speech Coursera,Prohibited,Prohibited,Noncommercial
ClarinPL,,,
Highland Puebla Nahuatl,Not Prohibited,Not Prohibited,Open or Unrestricted
Czech Parliament,,,
African Accented French,Not Prohibited,Not Prohibited,Open or Unrestricted
CoNASE,Prohibited,Unspecified,Noncommercial
Earnings-22,Prohibited,Unspecified,Noncommercial
Regional African American Language,Not Prohibited,Not Prohibited,Open or Unrestricted
FT SPEECH,,,
RTVE,,,
Japanese Anime Speech,Likely prohibited,Likely prohibited,Likely Noncommercial
DiDiSpeech,Not Prohibited,Not Prohibited,Open or Unrestricted
QASR,Prohibited,Prohibited,Noncommercial
SDS-200,Not Prohibited,Not Prohibited,Open or Unrestricted
OLKAVS,Not Prohibited,Not Prohibited,Open or Unrestricted
KSC,Not Prohibited,Not Prohibited,Open or Unrestricted
Spoken Wikipedia,Not Prohibited,Not Prohibited,Open or Unrestricted
English-Vietnamese,Unspecified,Prohibited,Noncommercial
NST Norwegian,,,
NST Danish,,,
Norwegian Parliamentary,,,
Aalto Finnish Parliament,,,
MaSS,Unspecified,Unspecified,Noncommercial
West African Radio Corpus,,,
West African Virtual Assistant Speech Recognition Corpus,Not Prohibited,Not Prohibited,Open or Unrestricted
120h Spanish Speech,Unspecified,Unspecified,Open or Unrestricted
"Basque, Catalan and Galician",Not Prohibited,Not Prohibited,Open or Unrestricted
"Corpora for Javanese, Sundanese, Sinhala, Nepali, and Bangladeshi Bengali",Not Prohibited,Not Prohibited,Open or Unrestricted
Nigerian English,Not Prohibited,Not Prohibited,Open or Unrestricted
English Accents in the British Isles,Not Prohibited,Not Prohibited,Open or Unrestricted
