bucket_midpoint,count
11.5,23296
13.0,48479
15.0,46261
17.0,50398
19.0,47576
21.0,44619
23.0,42888
25.0,47081
27.0,45936
29.0,46094
31.0,44529
33.0,46058
35.0,45471
37.0,46859
39.0,47884
40.5,24183
42.0,52509
44.0,49442
46.0,51085
47.5,26221
49.0,61498
50.5,44693
51.5,49830
52.5,56972
53.5,56949
54.5,60091
55.5,65891
56.5,59677
57.5,57126
58.5,67861
59.5,59879
60.5,57972
61.5,59349
62.5,57229
63.5,57117
64.5,55870
65.5,53501
66.5,53466
67.5,51898
68.5,70538
69.5,63325
70.5,54624
71.5,50419
72.5,51911
73.5,49839
74.5,50032
75.5,50906
76.5,51748
77.5,49229
78.5,49096
79.5,47656
80.5,47864
81.5,46998
82.5,49524
83.5,46043
84.5,46606
85.5,45002
86.5,46479
87.5,45166
88.5,45677
89.5,44266
90.5,45535
91.5,44032
92.5,45300
93.5,42336
94.5,44257
95.5,42761
96.5,43575
97.5,42186
98.5,43972
99.5,41896
100.5,44604
101.5,42756
102.5,45748
103.5,41127
104.5,46158
105.5,41877
106.5,45850
107.5,41104
108.5,46227
109.5,41149
111.0,87390
112.5,45438
113.5,40824
114.5,44477
115.5,40343
116.5,44748
117.5,39942
118.5,44695
119.5,42589
120.5,44065
121.5,38963
122.5,44323
123.5,39977
124.5,43762
125.5,39028
127.0,82513
128.5,45102
129.5,39208
130.5,42958
131.5,37909
132.5,43239
133.5,38055
134.5,42308
135.5,37389
137.0,80275
138.5,41826
139.5,36979
140.5,41513
141.5,36911
142.5,40624
144.0,76970
145.5,35885
146.5,40124
147.5,36256
148.5,39691
149.5,36051
151.0,77661
152.5,39637
153.5,34893
154.5,39147
155.5,34845
157.0,73704
158.5,38371
159.5,35228
160.5,38558
162.0,72366
163.5,34055
164.5,38310
165.5,34145
167.0,70618
168.5,37312
169.5,33087
171.0,70441
172.5,36525
173.5,32765
175.0,69329
176.5,35841
177.5,32715
179.0,67506
180.5,35714
181.5,31849
183.0,67616
184.5,34734
185.5,31690
187.0,65654
188.5,34880
189.5,31142
191.0,64648
192.5,34065
194.0,64126
195.5,30541
196.5,33993
198.0,63529
199.5,29699
201.0,61842
202.5,33312
204.0,62349
205.5,29032
207.0,61633
208.5,31964
210.0,60697
211.5,28826
213.0,60549
214.5,31443
216.0,59768
217.5,28130
219.0,59612
220.5,31146
222.0,61068
223.5,27459
225.0,57788
226.5,30031
228.0,57124
230.0,56514
231.5,26842
233.0,56228
234.5,29737
236.0,55504
238.0,55183
239.5,25923
241.0,54835
243.0,54890
244.5,28461
246.0,54107
248.0,53708
249.5,25425
251.0,52868
253.0,53532
255.0,52515
256.5,28124
258.0,52959
260.0,51850
261.5,24836
263.0,51695
265.0,51021
267.0,51199
269.0,50587
270.5,26584
272.0,50164
274.0,50133
276.0,49527
278.0,49893
279.5,23698
281.0,49457
283.0,48876
285.0,48600
287.0,48114
289.0,47950
291.0,47890
293.0,47187
294.5,24936
295.5,56944
297.0,46942
299.0,46710
301.0,47038
303.0,49049
304.5,24418
306.0,46534
308.0,45923
310.0,45805
312.0,46506
314.0,46525
316.0,45597
318.0,45537
320.0,45078
322.0,44906
324.0,44591
326.0,44375
328.0,44919
330.0,44107
332.0,43614
334.5,64272
337.0,43905
339.0,42932
341.0,42687
343.0,42735
345.0,42536
347.0,41851
349.0,42231
351.5,63804
354.0,41747
356.0,41774
358.0,41399
360.0,41419
362.5,60558
365.0,40595
367.0,40856
369.0,40928
371.0,40670
373.5,61132
376.0,39985
378.0,39842
380.5,58073
383.0,39523
385.0,39640
387.0,39439
389.5,59199
392.0,39146
394.0,38942
396.5,58013
399.0,38695
401.0,38643
403.5,58998
406.0,38765
408.0,38737
410.5,57146
413.0,38610
415.0,38818
417.5,59161
420.0,38617
422.0,38309
424.5,56845
427.0,38120
429.0,38144
431.5,58411
434.0,37802
436.5,56426
439.0,38201
441.0,38101
443.5,56590
446.0,38777
448.5,55993
451.0,37881
453.0,37255
455.5,56673
458.0,37130
460.5,54296
463.0,36826
465.5,55539
468.0,36127
470.5,53873
473.0,35808
475.5,55015
478.0,35847
480.5,51769
483.0,35186
485.5,53033
488.5,51212
491.0,36065
493.5,52141
496.0,35046
498.5,50019
501.5,51735
504.0,33899
506.5,50529
509.5,51305
512.0,34281
514.5,49685
517.5,50785
520.0,33402
522.5,49585
525.5,49852
528.5,49366
531.0,32303
533.5,48720
536.5,47162
539.5,47790
542.5,46597
545.5,46967
548.5,45464
551.5,46575
554.5,44800
557.5,45219
560.5,44742
563.5,45173
566.5,43747
569.5,44523
572.5,44502
575.5,44837
578.5,42845
581.5,43717
584.5,42771
588.0,56962
591.5,44862
594.5,41435
597.5,42497
600.5,41131
604.0,55829
607.5,41412
610.5,40546
614.0,54126
617.5,40641
620.5,39768
624.0,52927
627.5,40067
631.0,52791
634.5,38794
638.0,51794
641.5,39072
645.0,51270
648.5,37871
