bucket_midpoint,count
14.0,32118
20.0,30085
26.5,33903
33.5,34940
40.0,33605
45.0,31359
48.0,26164
49.5,22178
50.5,39660
51.5,50965
52.5,62005
53.5,67815
54.5,71243
55.5,71858
56.5,72334
57.5,70508
58.5,69515
59.5,69302
60.5,69289
61.5,67848
62.5,67829
63.5,67403
64.5,65989
65.5,64990
66.5,64310
67.5,63779
68.5,62901
69.5,64241
70.5,61060
71.5,60085
72.5,60163
73.5,59150
74.5,58447
75.5,58651
76.5,57700
77.5,57953
78.5,57294
79.5,56162
80.5,55601
81.5,55538
82.5,54823
83.5,54582
84.5,53889
85.5,54686
86.5,54641
87.5,55279
88.5,54043
89.5,53074
90.5,52312
91.5,52333
92.5,51637
93.5,51373
94.5,50995
95.5,50657
96.5,49974
97.5,50023
98.5,49149
99.5,49442
100.5,49554
101.5,49228
102.5,49639
103.5,49193
104.5,49133
105.5,49234
106.5,48890
107.5,48483
108.5,49254
109.5,48246
110.5,48036
111.5,47841
112.5,48206
113.5,48309
114.5,47841
115.5,47832
116.5,47403
117.5,47262
118.5,47132
119.5,46648
120.5,46639
121.5,46782
122.5,46420
123.5,45878
124.5,45993
125.5,45427
126.5,45474
127.5,44897
128.5,44747
129.5,44713
130.5,44218
131.5,44224
132.5,43712
133.5,43869
134.5,43583
135.5,43621
136.5,43722
137.5,44002
138.5,43421
139.5,42877
140.5,42812
141.5,42523
142.5,42543
143.5,42149
144.5,41998
145.5,41882
146.5,41606
147.5,41528
148.5,40972
149.5,40867
150.5,40548
151.5,40308
152.5,40317
153.5,40425
154.5,39834
155.5,39931
156.5,40146
157.5,39302
158.5,39428
159.5,38943
160.5,39125
161.5,38833
162.5,38839
163.5,38442
164.5,38425
165.5,37955
166.5,37792
167.5,37963
168.5,37728
169.5,37201
170.5,37392
171.5,37283
172.5,37194
173.5,37294
174.5,36529
175.5,36268
176.5,36123
177.5,36178
178.5,36251
179.5,35640
180.5,36097
181.5,35358
182.5,35496
183.5,35228
184.5,34755
185.5,34729
186.5,34706
187.5,34258
188.5,34681
189.5,34333
190.5,33874
191.5,34033
192.5,33473
193.5,34011
194.5,33727
195.5,33071
196.5,33157
197.5,33166
198.5,33013
199.5,32761
200.5,32908
201.5,32881
202.5,32269
203.5,32096
204.5,32048
205.5,32188
206.5,32115
207.5,31816
208.5,31591
209.5,31505
210.5,31444
211.5,31025
212.5,31281
213.5,30920
214.5,30793
215.5,30229
217.0,61109
218.5,30107
219.5,30338
220.5,30045
221.5,29916
222.5,30042
223.5,29887
224.5,29688
225.5,29528
227.0,58057
228.5,29182
229.5,28924
230.5,28803
231.5,28893
232.5,28577
234.0,56792
235.5,28304
236.5,28154
237.5,28053
238.5,27770
239.5,28009
241.0,55209
242.5,27519
243.5,27515
244.5,27164
246.0,54541
247.5,27245
248.5,26954
249.5,26849
250.5,26696
252.0,53640
253.5,26396
254.5,26478
255.5,26567
257.0,52056
258.5,26240
259.5,25974
261.0,51467
262.5,25696
263.5,25672
265.0,50616
266.5,25406
267.5,25302
268.5,24987
270.0,49947
271.5,24497
272.5,24788
274.0,49171
275.5,24529
277.0,49003
278.5,24506
279.5,24086
281.0,48085
282.5,24089
283.5,23909
285.0,47239
286.5,23487
288.0,46950
289.5,23285
291.0,46309
292.5,22965
293.5,22810
295.0,45458
296.5,22865
298.0,45582
299.5,22596
301.0,45246
302.5,22612
304.0,45249
305.5,22496
307.0,45239
308.5,22512
310.0,44580
311.5,22263
313.0,44209
314.5,21958
316.0,43859
317.5,21860
319.0,43629
320.5,21629
322.0,43100
323.5,21796
325.0,42457
326.5,21275
328.0,41933
330.0,41935
331.5,20899
333.0,41417
334.5,20665
336.0,41415
338.0,40677
339.5,20261
341.0,40464
343.0,40513
344.5,19881
346.0,39858
348.0,39825
349.5,19485
351.0,39241
353.0,38975
354.5,19216
356.0,38960
358.0,38355
360.0,38281
361.5,18765
363.0,38126
365.0,37037
367.0,37184
369.0,37131
370.5,18703
372.0,37010
374.0,36455
376.0,36228
378.0,36218
379.5,18027
381.0,36154
383.0,35354
385.0,35627
387.0,35566
389.0,35055
391.0,35214
393.0,34651
394.5,17754
396.0,34444
398.0,34556
400.0,34499
402.0,34513
404.0,34658
406.0,34324
408.0,34260
410.0,34373
412.0,34195
414.0,34037
416.0,34075
418.0,34179
420.0,34167
422.0,34040
424.0,33695
426.0,33658
428.0,33775
429.5,16874
431.0,33607
433.0,33068
435.0,32844
437.5,49503
440.0,32676
442.0,32427
444.0,32234
446.0,32405
448.0,32291
450.0,32283
452.0,32546
454.0,32082
456.0,32229
458.0,31900
460.0,31963
462.0,31631
464.0,32213
466.0,31578
468.5,47404
471.0,31302
473.0,31609
475.0,31099
