Collection	sum HF Downloads (October 2023)
Airoboros	1134
Alpaca	99653
Anthropic HH-RLHF	82242
Baize Chat Data	868
Book Summaries	603
Camel-AI Science	59
CoT Collection	374
Code Alpaca	4575
CommitPackFT	4085
Dolly 15k	10115614
Flan Collection (Chain-of-Thought)	1230
Flan Collection (Dialog)	235
Flan Collection (Flan 2021)	704
Flan Collection (P3)	14492
Flan Collection (Super-NaturalInstructions)	2120
GPT-4-Alpaca	1052
GPTeacher	132
Gorilla	101
HC3 (Chinese)	89
HC3 (English)	2014
Joke Explanation	52
LIMA	3035
Longform	3454
NomicAI GPT4AllJ	635
OIG	395
Open Assistant	13518
Open Assistant OctoPack	36
Open Orca	27963
OpenAI (Summarize from Feedback)	13501
OpenAI (WebGPT)	1380
Self-Instruct	3478
ShareGPT Vicuna	616
Stack Exchange Instruction	547
Stanford Human Preferences	4309
StarCoder Self-Instruct	304
Tasksource Instruct	11
Tasksource Symbol-Tuning	197
Tiny Stories	12260
UltraChat	2031
Unnatural Instructions	16
WizardLM Evol-Instruct	1434
WizardLM Evol-Instruct V2	631
xP3x	965
