"modality","collection","summary_keys","cites"
"audio","1111 Hours Hindi","1111 Hours Hindi ASR Challenge","bhanushaliGramVaaniASR2022"
"audio","120h Spanish Speech","120h Spanish Speech","--"
"audio","AFRISPEECH-200","AFRISPEECH-200","olatunjiAfriSpeech200PanAfricanAccented2023"
"audio","AISHELL-1","AISHELL-1","buAISHELL1OpenSourceMandarin2017"
"audio","AISHELL-2","AISHELL-2","duAISHELL2TransformingMandarin2018"
"audio","AISHELL-4","AISHELL-4","fuAISHELL4OpenSource2021"
"audio","ALLSSTAR","ALLSSTAR","bradlowALLSSTARArchiveL12010"
"audio","AMI","AMI","carlettaAMIMeetingCorpus2006"
"audio","Aalto Finnish Parl.","Aalto Finnish Parliament","virkkunenFinnishParliamentASR2022"
"audio","African Acc. French","African Accented French","--"
"audio","Basq., Cat. and Gal.","Basque, Catalan and Galician","kjartanssonOpenSourceHighQuality2020"
"audio","Bloom Speech","Bloom Speech","leongBloomLibraryMultimodal2022"
"audio","Bud500","Bud500","--"
"audio","CSJ","CSJ","maekawaCorpusSpontaneousJapanese2003"
"audio","CSLU 1.2","CSLU  Foreign Accented English Release 1.2","landertCSLUForeignAccented2007"
"audio","CSLU 22 Langs.","CSLU  22 Languages Corpus","landertCSLU22Languages2005"
"audio","ClarinPL","ClarinPL","korzinekPolishReadSpeech2017"
"audio","CoNASE","CoNASE",""coatsCorpusRegionalAmerican2019
"audio","CoVoST-2","CoVoST-2","wangCoVoSTMassivelyMultilingual2020"
"audio","Common Voice 17","Common Voice Corpus (17.0)","ardilaCommonVoiceMassivelyMultilingual2020"
"audio","Crowd Sourced Speech","Corpora for Javanese, Sundanese, Sinhala, Nepali, and Bangladeshi Bengali","kjartanssonCrowdSourcedSpeechCorpora2018"
"audio","Czech Parliament","Czech Parliament","kratochvilLargeCorpusCzech2020"
"audio","DiDiSpeech","DiDiSpeech","guoDiDiSpeechLargeScale2021"
"audio","Earnings-22","Earnings-22","delrioEarnings22PracticalBenchmark2022"
"audio","EdAcc","EdAcc","sanabriaEdinburghInternationalAccents2023"
"audio","Eng. Acc. in Brit. Isles","English Accents in the British Isles","demirsahinOpensourceMultispeakerCorpora2020"
"audio","English-Vietnamese","English-Vietnamese","nguyenHighQualityLargeScaleDataset2022"
"audio","FT SPEECH","FT SPEECH","kirkedalFTSpeechDanish2020"
"audio","Fisher","Fisher","cieriFisherCorpusResource2004"
"audio","Fleurs","Fleurs","conneauFLEURSFewshotLearning2022"
"audio","GigaSpeech","GigaSpeech","chenGigaSpeechEvolvingMultidomain2021"
"audio","Golos","Golos","karpovGolosRussianDataset2021"
"audio","Hebrew Coursera","Hebrew Speech Coursera","--"
"audio","Hebrew Kan","Hebrew Speech Kan","--"
"audio","Highland Puebla Nahuatl","Highland Puebla Nahuatl","shiHighlandPueblaNahuatl2021"
"audio","JTUBESPEECH","JTUBESPEECH","takamichiJTubeSpeechCorpusJapanese2021"
"audio","Japanese Anime Speech","Japanese Anime Speech","--"
"audio","KSC","KSC","khassanovCrowdsourcedOpenSourceKazakh2021"
"audio","Kathbath","Kathbath","javedIndicSUPERBSpeechProcessing2022"
"audio","KeSpeech","KeSpeech","tangKeSpeechOpenSource2021"
"audio","KsponSpeech","KsponSpeech","bangKsponSpeechKoreanSpontaneous2020"
"audio","LJSpeech","LJSpeech","itoLJSpeechDataset2017"
"audio","LaboroTVSpeech","LaboroTVSpeech","andoConstructionLargescaleJapanese2021"
"audio","LibriSpeech","LibriSpeech","panayotovLibrispeechASRCorpus2015"
"audio","M-AILABS","M-AILABS","solakMAILABSSpeechDataset2024"
"audio","M2ASR","M2ASR-Kazakh|M2ASR-Kirghiz|M2ASR-Mongo|M2ASR-Tibetan","shiFreeKazakhSpeech2017|mamtiminM2ASRKIRGHIZFreeKirghiz2023|zhiM2ASRMONGOFreeMongolian2021|liFreeLinguisticSpeech2017"
"audio","MAGICDATA","MAGICDATA","--"
"audio","MASC","MASC","al-fetyaniMASCMassiveArabic2023"
"audio","MaSS","MaSS","boitoMaSSLargeClean2020"
"audio","MagicData-RAMC","MagicData-RAMC","yangOpenSourceMagicDataRAMC2022"
"audio","MediaSpeech","MediaSpeech","kolobovMediaSpeechMultilanguageASR2021"
"audio","Minds14","Minds14","gerzMultilingualCrossLingualIntent2021"
"audio","MuST-C","MuST-C","digangiMuSTCMultilingualSpeech2019"
"audio","Multiling. LibriSpeech","Multilingual LibriSpeech","pratapMLSLargeScaleMultilingual2020"
"audio","Multiling. TEDx","Multilingual TEDx","saleskyMultilingualTEDxCorpus2021"
"audio","NST Danish","NST Danish","--"
"audio","NST Norwegian","NST Norwegian","--"
"audio","NST Swedish","NST Swedish","--"
"audio","Nigerian English","Nigerian English","--"
"audio","Norwegian Parl. Speech","NPSC","solbergNorwegianParliamentarySpeech2022"
"audio","Norwegian Parl.","Norwegian Parliamentary","solbergNorwegianParliamentarySpeech2022"
"audio","OLKAVS","OLKAVS",""parkOLKAVSOpenLargeScale2023
"audio","OpenSTT","OpenSTT","andrusenkoExplorationEndtoEndASR2020"
"audio","People's Speech","People's Speech","galvezPeopleSpeechLargeScale2021"
"audio","QASR","QASR","mubarakQASRQCRIAljazeera2021"
"audio","RTVE","RTVE","--"
"audio","ReazonSpeech","ReazonSpeech","yinReazonSpeechFreeMassive2023"
"audio","Regional Af. Am. Lang.","Regional African American Language","--"
"audio","RixVox","RixVox","--"
"audio","SDS-200","SDS-200","plussSDS200SwissGerman2022"
"audio","SPGISpeech","SPGISpeech","oneillSPGISpeech000Hours2021"
"audio","Samromur Children","Samrómur Children","hernandezmenaSamromurChildrenIcelandic2022"
"audio","Samromur","Samrómur","mollbergSamromurCrowdsourcingData2020"
"audio","Samromur Milljon","Samrómur Milljón","--"
"audio","Shrutilipi","Shrutilipi","bhogaleEffectivenessMiningAudio2022"
"audio","Snow Mountain","Snow Mountain","rajuSnowMountainDataset2023"
"audio","Spoken Wikipedia","Spoken Wikipedia","baumannSpokenWikipediaCorpus2019"
"audio","Switchboard","Switchboard","godfreySWITCHBOARDTelephoneSpeech1992"
"audio","TED-LIUM3","TED-LIUM3","hernandezTEDLIUMTwiceMuch2018"
"audio","THCHS-30","THCHS-30","wangTHCHS30FreeChinese2015"
"audio","THUYG-20","THUYG-20","roziOpenFreeDatabase2015"
"audio","TIMIT","TIMIT","garofolojohns.TIMITAcousticPhoneticContinuous1993"
"audio","VCTK","VCTK","--"
"audio","VibraVox","VibraVox","--"
"audio","VoxPopuli","VoxPopuli","wangVoxPopuliLargeScaleMultilingual2021"
"audio","Vystadial","Vystadial","korvasFreeEnglishCzech2014"
"audio","WenetSpeech","WenetSpeech","zhangWenetSpeech10000Hours2022"
"audio","West Afr. Radio","West African Radio Corpus","doumbouyaUsingRadioArchives2021"
"audio","West Afr. Virt. Asst.","West African Virtual Assistant Speech Recognition Corpus","doumbouyaUsingRadioArchives2021"
"audio","YODAS","YODAS","liYodasYoutubeOrientedDataset2023"
"audio","Zeroth-Korean","Zeroth-Korean","--"
"audio","aidatatang","aidatatang","--"
