Unsorted Index,Domain,Total Tokens,URL Appearances,Assign to [Name],Website Issue,User Content,Website Description,Content Domain I,Content Domain II,Content Domain III,Content Domain (other),Type of service,Type of service (Other),Sensitive content: Nudity,Sensitive content: Pornography,Sensitive content: Drugs,Sensitive content: Violence,Sensitive content: Illegal Activities,Sensitive content: Hate Speech
551,patents.google.com,627672250,97568,Shayne,FALSE,Strong Moderation,A database of international patents,Legal,Government/Policy,Education/Knowledge,,Encyclopedia/Database,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2518,en.wikipedia.org,169761426,155805,Shayne,FALSE,Strong Moderation,An encyclopedia of general information,Education/Knowledge,General,,,Encyclopedia/Database,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8434,en.m.wikipedia.org,168882842,85113,Shayne,FALSE,Strong Moderation,An encyclopedia of general information (mobile version),Education/Knowledge,General,,,Encyclopedia/Database,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39994,journals.plos.org,112200811,16422,Shayne,FALSE,Strong Moderation,Science and medicine journals,Academic,Biomedical/Health,,,Academic,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3515,www.goodreads.com,111354641,32491,Shayne,FALSE,Weak Moderation,"A social database of book titles, annotations, quotes, and reviews",Books,Social/Lifestyle,Reviews,,Other,Social media book reviews website,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
876,www.nytimes.com,104738295,168181,Shayne,FALSE,Strong Moderation,International news service,News,,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6763,www.theguardian.com,96402543,130502,Shayne,FALSE,None,International news service,News,,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9562,www.latimes.com,85107206,136154,Shayne,FALSE,None,American news service,News,,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9499,www.scribd.com,82061083,37096,Shayne,FALSE,Strong Moderation,"Database service with documents, ebooks, audiobooks, magazines, podcasts, and sheet music",Education/Knowledge,Books,Technology/Code,General,Encyclopedia/Database,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4209,www.huffpost.com,76052086,121744,Shayne,FALSE,Weak Moderation,Popular news and entertainment,News,Entertainment,Cultural/Artistic,,Periodicals,Social Media,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
187,www.forbes.com,69680275,94333,Shayne,FALSE,Strong Moderation,"A media platform that covers topics such as business, investing, technology, entrepreneurship, leadership, and lifestyle",Business/Finance,News,Cultural/Artistic,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
87574,hotfreebooks.com,69482965,5421,Shayne,TRUE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
